3|10|20|9
18|19|14|16
17|3|2|4
5|21|16|7
3|8|1|19
5|11|18|17
7|22|8|14
15|9|6|21
11|12|23|3
2|19|13|6
20|12|4|22
17|7|23|15
2|5|22|1
16|23|8|4
18|15|13|1
11|16|2|10
8|17|6|12
21|13|10|22
23|14|1|9
7|20|18|6
10|4|15|19
9|13|12|5
21|20|14|11
12|15|18|16
14|11|9|19
13|17|5|7
9|16|12|3
22|2|17|10
11|1|4|23
6|19|9|7
8|1|21|5
11|12|19|20
4|3|10|14
2|18|11|8
22|5|20|9
23|8|7|3
1|2|20|13
6|14|22|23
15|3|19|13
1|9|11|10
8|15|17|14
16|23|21|20
10|6|5|18
4|22|15|2
14|7|16|11
18|21|19|17
12|16|14|2
7|10|1|5
20|6|8|2
9|10|15|23
3|2|7|21
1|20|9|4
23|21|5|17
15|14|13|22
19|4|12|18
22|7|11|6
19|17|16|8
20|18|23|13
6|9|3|17
5|4|15|16
21|18|10|8
17|1|12|15
19|22|21|20
13|11|3|2
10|6|4|12
16|23|22|1
13|8|7|12
14|5|3|18
4|13|6|21
